,ncratio,nspeed
489,-0.35639102392453614,-0.6491518373259236
490,-0.3065771838704563,-0.6204131704705297
493,-0.3560633012926014,-0.7066291710367114
494,-0.30428312544691316,-0.6099627461594774
497,-0.3534415202371235,-0.847709899235918
498,-0.21710890535227345,0.11372913738089666
501,-0.34459300917488567,-0.9469889301909151
502,0.04998503967453611,1.4383204188067797
505,-0.35639102392453614,-0.6674400798702652
509,-0.35639102392453614,-0.724917413581053
510,-0.30231678965530473,-0.6099627461594774
513,-0.3321395491613657,-0.8111334141472348
514,-0.18663070058234305,0.24435944126905082
517,-0.3229633154671931,-0.7719443229807885
518,-0.2259574164145113,0.06670222798116117
521,-0.3239464833629973,-0.7693317169030255
522,-0.23185642378933657,0.03796356112576725
525,-0.3157534175646289,-0.7040165649589484
529,-0.34033261495973405,-0.8712233539357858
533,-0.34033261495973405,-0.8712233539357858
534,-0.2541415627608986,-0.14491886431764858
537,-0.341643505487473,-0.8895115964801273
541,-0.34262667338327724,-0.9182502633355212
545,-0.35508013339679717,-0.7745569290585517
546,-0.2934682785930669,-0.49239547266013867
549,-0.35245835234131934,-0.8581603235469702
550,-0.2662673001424838,-0.2938374107501443
553,-0.3531137976051888,-0.850322505313681
554,-0.2787207601560038,-0.3696029870052737
557,-0.3544246881329277,-0.7823947472918409
561,-0.35639102392453614,-0.6517644434036867
562,-0.2934682785930669,-0.5106837152044802
565,-0.35639102392453614,-0.5968997157706619
566,-0.31214846861334683,-0.690953534570133
569,-0.35639102392453614,-0.6125753522372405
570,-0.313131636509151,-0.6831157163368438
573,-0.35278607497325404,-0.879061172169075
577,-0.30821579703012997,-0.628250988703819
578,0.0008266448843257631,1.3076901149186257
581,-0.3065771838704563,-0.6256383826260559
582,-0.05160897622523193,1.0594925375311328
585,-0.3091989649259342,-0.7014039588811853
586,-0.06537332676649082,0.8086823540658767
589,-0.31837519862010677,-0.7144669892700007
590,-0.061440655183274025,0.9706639308871879
593,-0.34000489232779935,-0.8921242025578904
598,-0.2118653432413177,0.09544089483655507
601,-0.3383662791681256,-0.8581603235469702
605,-0.3386940018000604,-0.9156376572577581
609,-0.35508013339679717,-0.7641065047474993
610,-0.27609897910052583,-0.3878912295496153
613,-0.35409696550099296,-0.8111334141472348
614,-0.2744603659408522,-0.35392735053869523
617,-0.3557355786606667,-0.7353678378921054
618,-0.2993672859678921,-0.5629358367597419
621,-0.3554078560287319,-0.7432056561253946
625,-0.3560633012926014,-0.7536560804364469
626,-0.27609897910052583,-0.34870213838316905
629,-0.35639102392453614,-0.6073501400817143
630,-0.31444252703688996,-0.7118543831922376
633,-0.35639102392453614,-0.5786114732263203
634,-0.3154256949326942,-0.7275300196588161
637,-0.3521306297093845,-0.8633855357024964
641,-0.3039554028149784,-0.5733862610707943
645,-0.3078880743981952,-0.630863594781582
646,-0.10273370680705071,0.8217453844546923
649,-0.3118207459814121,-0.6047375340039512
650,-0.0319456183091478,1.1770598110304715
653,-0.30461084807884786,-0.5995123218484251
654,0.0663711712712729,1.4905725403620416
657,-0.34655934496649404,-0.9287006876465735
658,-0.26659502277441854,-0.24158528919488265
661,-0.3432821186471467,-0.8842863843246012
